MeasurementName	MeasurementUnit	Sex	AgeMin	AgeMax	Percentile	Value
Weight	lb	Male	46	55	2.6	129.213660048
Weight	lb	Male	56	65	2.6	127.921311804
Weight	lb	Male	66	79	2.6	124.781492
Weight	lb	Male	80	99	2.6	119.412801376
Weight	lb	Female	0	18	2.7	13.007258
Weight	lb	Female	18	25	2.7	96.01671255
Weight	lb	Female	26	35	2.7	101.964997772
Weight	lb	Female	36	45	2.7	108.764486776
Weight	lb	Female	46	55	2.7	106.375781006
Weight	lb	Female	56	65	2.7	105.792879478
Weight	lb	Female	66	79	2.7	108.02638
Weight	lb	Female	80	99	2.7	97.731465986
Weight	lb	Male	0	18	2.7	14.770954
Weight	lb	Male	18	25	2.7	118.714818684
Weight	lb	Male	26	35	2.7	129.86644803
Weight	lb	Male	36	45	2.7	130.825678192
Weight	lb	Male	46	55	2.7	129.647529264
Weight	lb	Male	56	65	2.7	128.127443774
Weight	lb	Male	66	79	2.7	124.781492
Weight	lb	Male	80	99	2.7	119.952492352
Weight	lb	Female	0	18	2.8	13.007258
Weight	lb	Female	18	25	2.8	96.2096168
Weight	lb	Female	26	35	2.8	102.908134208
Weight	lb	Female	36	45	2.8	109.232748064
Weight	lb	Female	46	55	2.8	107.415259336
Weight	lb	Female	56	65	2.8	106.137461584
Weight	lb	Female	66	79	2.8	108.12779252
Weight	lb	Female	80	99	2.8	97.905410504
Weight	lb	Male	0	18	2.8	14.987888608
Weight	lb	Male	18	25	2.8	119.043307064
Weight	lb	Male	26	35	2.8	129.99762292
Weight	lb	Male	36	45	2.8	130.965010176
Weight	lb	Male	46	55	2.8	129.942066496
Weight	lb	Male	56	65	2.8	128.667796136
Weight	lb	Male	66	79	2.8	124.915532896
Weight	lb	Male	80	99	2.8	120.492183328
Weight	lb	Female	0	18	2.9	13.22772
Weight	lb	Female	18	25	2.9	96.7166794
Weight	lb	Female	26	35	2.9	103.403512322
Weight	lb	Female	36	45	2.9	109.583723568
Weight	lb	Female	46	55	2.9	107.889473098
Weight	lb	Female	56	65	2.9	107.007404636
Weight	lb	Female	66	79	2.9	108.246842
Weight	lb	Female	80	99	2.9	98.079355022
Weight	lb	Male	0	18	2.9	14.991416
Weight	lb	Male	18	25	2.9	119.428895102
Weight	lb	Male	26	35	2.9	130.07258
Weight	lb	Male	36	45	2.9	131.233091968
Weight	lb	Male	46	55	2.9	130.154591864
Weight	lb	Male	56	65	2.9	129.055368332
Weight	lb	Male	66	79	2.9	125.001954
Weight	lb	Male	80	99	2.9	121.031874304
Weight	lb	Female	0	18	3	13.22772
Weight	lb	Female	18	25	3	97.113511
Weight	lb	Female	26	35	3	103.61714
Weight	lb	Female	36	45	3	109.790076
Weight	lb	Female	46	55	3	108.25125124
Weight	lb	Female	56	65	3	107.585456
Weight	lb	Female	66	79	3	108.246842
Weight	lb	Female	80	99	3	98.25329954
Weight	lb	Male	0	18	3	15.211878
Weight	lb	Male	18	25	3	119.70645676
Weight	lb	Male	26	35	3	130.07258
Weight	lb	Male	36	45	3	131.50117376
Weight	lb	Male	46	55	3	130.30186048
Weight	lb	Male	56	65	3	129.30316762
Weight	lb	Male	66	79	3	125.01959096
Weight	lb	Male	80	99	3	121.32464784
Weight	lb	Female	0	18	3.1	13.250648048
Weight	lb	Female	18	25	3.1	97.3670423
Weight	lb	Female	26	35	3.1	103.662555172
Weight	lb	Female	36	45	3.1	109.790076
Weight	lb	Female	46	55	3.1	108.71752837
Weight	lb	Female	56	65	3.1	107.642114734
Weight	lb	Female	66	79	3.1	108.36699379
Weight	lb	Female	80	99	3.1	98.393513372
Weight	lb	Male	0	18	3.1	15.43234
Weight	lb	Male	18	25	3.1	119.931328
Weight	lb	Male	26	35	3.1	130.75931913
Weight	lb	Male	36	45	3.1	131.769255552
Weight	lb	Male	46	55	3.1	130.449129096
Weight	lb	Male	56	65	3.1	129.411194
Weight	lb	Male	66	79	3.1	125.181850992
Weight	lb	Male	80	99	3.1	121.444579168
Weight	lb	Female	0	18	3.2	13.599859856
Weight	lb	Female	18	25	3.2	97.5323888
Weight	lb	Female	26	35	3.2	103.976933984
Weight	lb	Female	36	45	3.2	109.790076
Weight	lb	Female	46	55	3.2	109.50788464
Weight	lb	Female	56	65	3.2	107.828846048
Weight	lb	Female	66	79	3.2	108.467304
Weight	lb	Female	80	99	3.2	98.509476384
Weight	lb	Male	0	18	3.2	15.585781552
Weight	lb	Male	18	25	3.2	119.931328
Weight	lb	Male	26	35	3.2	131.67754336
Weight	lb	Male	36	45	3.2	132.33892936
Weight	lb	Male	46	55	3.2	130.596397712
Weight	lb	Male	56	65	3.2	129.56992664
Weight	lb	Male	66	79	3.2	125.222416
Weight	lb	Male	80	99	3.2	121.564510496
Weight	lb	Female	0	18	3.3	13.949071664
Weight	lb	Female	18	25	3.3	97.65915445
Weight	lb	Female	26	35	3.3	104.874434786
Weight	lb	Female	36	45	3.3	109.950572336
Weight	lb	Female	46	55	3.3	109.861064764
Weight	lb	Female	56	65	3.3	108.015577362
Weight	lb	Female	66	79	3.3	108.467304
Weight	lb	Female	80	99	3.3	98.625439396
Weight	lb	Male	0	18	3.3	15.652802
Weight	lb	Male	18	25	3.3	119.931328
Weight	lb	Male	26	35	3.3	132.59576759
Weight	lb	Male	36	45	3.3	132.995024272
Weight	lb	Male	46	55	3.3	130.753366656
Weight	lb	Male	56	65	3.3	130.47051391
Weight	lb	Male	66	79	3.3	125.412895168
Weight	lb	Male	80	99	3.3	121.684441824
Weight	lb	Female	0	18	3.4	14.109568
Weight	lb	Female	18	25	3.4	97.9071742
Weight	lb	Female	26	35	3.4	105.654649804
Weight	lb	Female	36	45	3.4	110.231
Weight	lb	Female	46	55	3.4	110.177207272
Weight	lb	Female	56	65	3.4	108.202308676
Weight	lb	Female	66	79	3.4	108.74508612
Weight	lb	Female	80	99	3.4	98.741402408
Weight	lb	Male	0	18	3.4	15.873264
Weight	lb	Male	18	25	3.4	119.931328
Weight	lb	Male	26	35	3.4	133.20975426
Weight	lb	Male	36	45	3.4	133.531187856
Weight	lb	Male	46	55	3.4	131.047903888
Weight	lb	Male	56	65	3.4	130.856542872
Weight	lb	Male	66	79	3.4	125.889093088
Weight	lb	Male	80	99	3.4	121.859047728
Weight	lb	Female	0	18	3.5	14.109568
Weight	lb	Female	18	25	3.5	98.1607055
Weight	lb	Female	26	35	3.5	105.81183921
Weight	lb	Female	36	45	3.5	110.231
Weight	lb	Female	46	55	3.5	110.451462
Weight	lb	Female	56	65	3.5	108.246842
Weight	lb	Female	66	79	3.5	108.908228
Weight	lb	Female	80	99	3.5	98.99294955
Weight	lb	Male	0	18	3.5	15.873264
Weight	lb	Male	18	25	3.5	119.931328
Weight	lb	Male	26	35	3.5	133.34092915
Weight	lb	Male	36	45	3.5	133.94389272
Weight	lb	Male	46	55	3.5	131.25866556
Weight	lb	Male	56	65	3.5	131.47912756
Weight	lb	Male	66	79	3.5	126.05135312
Weight	lb	Male	80	99	3.5	122.03894472
Weight	lb	Female	0	18	3.6	14.33003
Weight	lb	Female	18	25	3.6	98.4142368
Weight	lb	Female	26	35	3.6	106.116297232
Weight	lb	Female	36	45	3.6	110.76892728
Weight	lb	Female	46	55	3.6	110.451462
Weight	lb	Female	56	65	3.6	108.355309304
Weight	lb	Female	66	79	3.6	108.91263724
Weight	lb	Female	80	99	3.6	99.28285708
Weight	lb	Male	0	18	3.6	16.093726
Weight	lb	Male	18	25	3.6	119.931328
