variable,gender,age_min,age_max,percentile,value
Weight,2,36,45,2.2,107.9329041
Weight,2,46,55,2.2,104.6696256
Weight,2,56,65,2.2,104.4773827
Weight,2,66,79,2.2,107.208466
Weight,2,80,99,2.2,96.95610113
Weight,1,0,18,2.2,13.668644
Weight,1,18,25,2.2,114.9277224
Weight,1,26,35,2.2,128.7894912
Weight,1,36,45,2.2,129.2736257
Weight,1,46,55,2.2,128.3953051
Weight,1,56,65,2.2,124.323372
Weight,1,66,79,2.2,123.7215107
Weight,1,80,99,2.2,118.1605772
Weight,2,0,18,2.3,12.44111158
Weight,2,18,25,2.3,95.239584
Weight,2,26,35,2.3,100.353641
Weight,2,36,45,2.3,108.02638
Weight,2,46,55,2.3,104.71945
Weight,2,56,65,2.3,104.8254922
Weight,2,66,79,2.3,107.3616871
Weight,2,80,99,2.3,97.03568791
Weight,1,0,18,2.3,13.889106
Weight,1,18,25,2.3,115.9828536
Weight,1,26,35,2.3,129.0518409
Weight,1,36,45,2.3,129.4076666
Weight,1,46,55,2.3,128.529346
Weight,1,56,65,2.3,126.6075787
Weight,1,66,79,2.3,123.8837707
Weight,1,80,99,2.3,118.4498234
Weight,2,0,18,2.4,12.786796
Weight,2,18,25,2.4,95.239584
Weight,2,26,35,2.4,100.7758257
Weight,2,36,45,2.4,108.02638
Weight,2,46,55,2.4,104.7653061
Weight,2,56,65,2.4,105.0122235
Weight,2,66,79,2.4,107.6648223
Weight,2,80,99,2.4,97.20963243
Weight,1,0,18,2.4,14.00903733
Weight,1,18,25,2.4,117.268147
Weight,1,26,35,2.4,129.190732
Weight,1,36,45,2.4,130.0637615
Weight,1,46,55,2.4,128.5434556
Weight,1,56,65,2.4,127.3406149
Weight,1,66,79,2.4,124.1924175
Weight,1,80,99,2.4,118.7496517
Weight,2,0,18,2.5,12.786796
Weight,2,18,25,2.5,95.48760375
Weight,2,26,35,2.5,100.9330152
Weight,2,36,45,2.5,108.3350268
Weight,2,46,55,2.5,104.9233774
Weight,2,56,65,2.5,105.2375357
Weight,2,66,79,2.5,107.8885913
Weight,2,80,99,2.5,97.38357695
Weight,1,0,18,2.5,14.33003
Weight,1,18,25,2.5,117.9196123
Weight,1,26,35,2.5,129.190732
Weight,1,36,45,2.5,130.5575964
Weight,1,46,55,2.5,128.8379928
Weight,1,56,65,2.5,127.6144287
Weight,1,66,79,2.5,124.5169376
Weight,1,80,99,2.5,119.04948
Weight,2,0,18,2.6,13.007258
Weight,2,18,25,2.6,95.8679007
Weight,2,26,35,2.6,101.3274217
Weight,2,36,45,2.6,108.5572525
Weight,2,46,55,2.6,105.5060584
Weight,2,56,65,2.6,105.6061482
Weight,2,66,79,2.6,108.02638
Weight,2,80,99,2.6,97.55752147
Weight,1,0,18,2.6,14.550492
Weight,1,18,25,2.6,118.45776
Weight,1,26,35,2.6,129.5015834
Weight,1,36,45,2.6,130.6916373
Weight,1,46,55,2.6,129.21366
Weight,1,56,65,2.6,127.9213118
Weight,1,66,79,2.6,124.781492
Weight,1,80,99,2.6,119.4128014
Weight,2,0,18,2.7,13.007258
Weight,2,18,25,2.7,96.01671255
Weight,2,26,35,2.7,101.9649978
Weight,2,36,45,2.7,108.7644868
Weight,2,46,55,2.7,106.375781
Weight,2,56,65,2.7,105.7928795
Weight,2,66,79,2.7,108.02638
Weight,2,80,99,2.7,97.73146599
Weight,1,0,18,2.7,14.770954
Weight,1,18,25,2.7,118.7148187
Weight,1,26,35,2.7,129.866448
Weight,1,36,45,2.7,130.8256782
Weight,1,46,55,2.7,129.6475293
Weight,1,56,65,2.7,128.1274438
Weight,1,66,79,2.7,124.781492
Weight,1,80,99,2.7,119.9524924
Weight,2,0,18,2.8,13.007258
Weight,2,18,25,2.8,96.2096168
Weight,2,26,35,2.8,102.9081342
Weight,2,36,45,2.8,109.2327481
Weight,2,46,55,2.8,107.4152593
Weight,2,56,65,2.8,106.1374616
Weight,2,66,79,2.8,108.1277925
Weight,2,80,99,2.8,97.9054105
Weight,1,0,18,2.8,14.98788861
Weight,1,18,25,2.8,119.0433071
Weight,1,26,35,2.8,129.9976229
Weight,1,36,45,2.8,130.9650102
Weight,1,46,55,2.8,129.9420665
Weight,1,56,65,2.8,128.6677961
Weight,1,66,79,2.8,124.9155329
Weight,1,80,99,2.8,120.4921833
Weight,2,0,18,2.9,13.22772
Weight,2,18,25,2.9,96.7166794
Weight,2,26,35,2.9,103.4035123
Weight,2,36,45,2.9,109.5837236
Weight,2,46,55,2.9,107.8894731
Weight,2,56,65,2.9,107.0074046
Weight,2,66,79,2.9,108.246842
Weight,2,80,99,2.9,98.07935502
Weight,1,0,18,2.9,14.991416
Weight,1,18,25,2.9,119.4288951
Weight,1,26,35,2.9,130.07258
Weight,1,36,45,2.9,131.233092
Weight,1,46,55,2.9,130.1545919
Weight,1,56,65,2.9,129.0553683
Weight,1,66,79,2.9,125.001954
Weight,1,80,99,2.9,121.0318743
Weight,2,0,18,3,13.22772
Weight,2,18,25,3,97.113511
Weight,2,26,35,3,103.61714
Weight,2,36,45,3,109.790076
Weight,2,46,55,3,108.2512512
Weight,2,56,65,3,107.585456
Weight,2,66,79,3,108.246842
Weight,2,80,99,3,98.25329954
Weight,1,0,18,3,15.211878
Weight,1,18,25,3,119.7064568
Weight,1,26,35,3,130.07258
Weight,1,36,45,3,131.5011738
Weight,1,46,55,3,130.3018605
Weight,1,56,65,3,129.3031676
Weight,1,66,79,3,125.019591
Weight,1,80,99,3,121.3246478
Weight,2,0,18,3.1,13.25064805
Weight,2,18,25,3.1,97.3670423
Weight,2,26,35,3.1,103.6625552
Weight,2,36,45,3.1,109.790076
Weight,2,46,55,3.1,108.7175284
Weight,2,56,65,3.1,107.6421147
Weight,2,66,79,3.1,108.3669938
Weight,2,80,99,3.1,98.39351337
Weight,1,0,18,3.1,15.43234
Weight,1,18,25,3.1,119.931328
Weight,1,26,35,3.1,130.7593191
Weight,1,36,45,3.1,131.7692556
Weight,1,46,55,3.1,130.4491291
Weight,1,56,65,3.1,129.411194
Weight,1,66,79,3.1,125.181851
Weight,1,80,99,3.1,121.4445792
Weight,2,0,18,3.2,13.59985986
Weight,2,18,25,3.2,97.5323888
Weight,2,26,35,3.2,103.976934
Weight,2,36,45,3.2,109.790076
Weight,2,46,55,3.2,109.5078846
Weight,2,56,65,3.2,107.828846
Weight,2,66,79,3.2,108.467304
Weight,2,80,99,3.2,98.50947638
Weight,1,0,18,3.2,15.58578155
Weight,1,18,25,3.2,119.931328
Weight,1,26,35,3.2,131.6775434
Weight,1,36,45,3.2,132.3389294
Weight,1,46,55,3.2,130.5963977
Weight,1,56,65,3.2,129.5699266
Weight,1,66,79,3.2,125.222416
Weight,1,80,99,3.2,121.5645105
Weight,2,0,18,3.3,13.94907166
Weight,2,18,25,3.3,97.65915445
Weight,2,26,35,3.3,104.8744348
Weight,2,36,45,3.3,109.9505723
Weight,2,46,55,3.3,109.8610648
Weight,2,56,65,3.3,108.0155774
Weight,2,66,79,3.3,108.467304
Weight,2,80,99,3.3,98.6254394
Weight,1,0,18,3.3,15.652802
Weight,1,18,25,3.3,119.931328
Weight,1,26,35,3.3,132.5957676
Weight,1,36,45,3.3,132.9950243
Weight,1,46,55,3.3,130.7533667
Weight,1,56,65,3.3,130.4705139
Weight,1,66,79,3.3,125.4128952
Weight,1,80,99,3.3,121.6844418
Weight,2,0,18,3.4,14.109568
Weight,2,18,25,3.4,97.9071742
Weight,2,26,35,3.4,105.6546498
Weight,2,36,45,3.4,110.231
Weight,2,46,55,3.4,110.1772073
Weight,2,56,65,3.4,108.2023087
Weight,2,66,79,3.4,108.7450861
Weight,2,80,99,3.4,98.74140241
Weight,1,0,18,3.4,15.873264
Weight,1,18,25,3.4,119.931328
Weight,1,26,35,3.4,133.2097543
Weight,1,36,45,3.4,133.5311879
Weight,1,46,55,3.4,131.0479039
Weight,1,56,65,3.4,130.8565429
Weight,1,66,79,3.4,125.8890931
Weight,1,80,99,3.4,121.8590477
Weight,2,0,18,3.5,14.109568
Weight,2,18,25,3.5,98.1607055
Weight,2,26,35,3.5,105.8118392
Weight,2,36,45,3.5,110.231
Weight,2,46,55,3.5,110.451462
Weight,2,56,65,3.5,108.246842
Weight,2,66,79,3.5,108.908228
Weight,2,80,99,3.5,98.99294955
Weight,1,0,18,3.5,15.873264
Weight,1,18,25,3.5,119.931328
Weight,1,26,35,3.5,133.3409292
Weight,1,36,45,3.5,133.9438927
Weight,1,46,55,3.5,131.2586656
Weight,1,56,65,3.5,131.4791276
Weight,1,66,79,3.5,126.0513531
Weight,1,80,99,3.5,122.0389447
Weight,2,0,18,3.6,14.33003
Weight,2,18,25,3.6,98.4142368
Weight,2,26,35,3.6,106.1162972
Weight,2,36,45,3.6,110.7689273
Weight,2,46,55,3.6,110.451462
Weight,2,56,65,3.6,108.3553093
Weight,2,66,79,3.6,108.9126372
Weight,2,80,99,3.6,99.28285708
Weight,1,0,18,3.6,16.093726
Weight,1,18,25,3.6,119.931328
Weight,1,26,35,3.6,133.5646981
Weight,1,36,45,3.6,134.2119745
Weight,1,46,55,3.6,131.395352
Weight,1,56,65,3.6,132.0179367
Weight,1,66,79,3.6,126.6510098
Weight,1,80,99,3.6,122.2188417
Weight,2,0,18,3.7,14.550492
Weight,2,18,25,3.7,98.72839515
Weight,2,26,35,3.7,106.5146721
Weight,2,36,45,3.7,111.4197311
Weight,2,46,55,3.7,110.5680864
Weight,2,56,65,3.7,108.6915139
Weight,2,66,79,3.7,109.0658583
Weight,2,80,99,3.7,99.57276461
Weight,1,0,18,3.7,16.53465
Weight,1,18,25,3.7,120.0572118
Weight,1,26,35,3.7,133.8270479
Weight,1,36,45,3.7,134.3707072
Weight,1,46,55,3.7,131.395352
Weight,1,56,65,3.7,132.4286574
Weight,1,66,79,3.7,127.4111627
Weight,1,80,99,3.7,122.455177
Weight,2,0,18,3.8,14.5928207
Weight,2,18,25,3.8,99.1086921
Weight,2,26,35,3.8,106.9655169
Weight,2,36,45,3.8,111.7319053
Weight,2,46,55,3.8,110.671924
Weight,2,56,65,3.8,109.1696959
Weight,2,66,79,3.8,109.2190794
Weight,2,80,99,3.8,99.86267214
Weight,1,0,18,3.8,16.70308297
Weight,1,18,25,3.8,120.2875946
Weight,1,26,35,3.8,134.0893976
Weight,1,36,45,3.8,134.5506041
Weight,1,46,55,3.8,131.7339816
Weight,1,56,65,3.8,132.938586
Weight,1,66,79,3.8,128.0602029
Weight,1,80,99,3.8,122.8749366
Weight,2,0,18,3.9,14.770954
Weight,2,18,25,3.9,99.5826854
Weight,2,26,35,3.9,107.2798957
Weight,2,36,45,3.9,112.1790022
Weight,2,46,55,3.9,110.671924
Weight,2,56,65,3.9,109.349152
Weight,2,66,79,3.9,109.5111916
Weight,2,80,99,3.9,99.92594473
Weight,1,0,18,3.9,16.975574
Weight,1,18,25,3.9,120.801712
Weight,1,26,35,3.9,134.3065527
Weight,1,36,45,3.9,134.9527268
Weight,1,46,55,3.9,132.300128
Weight,1,56,65,3.9,132.938586
Weight,1,66,79,3.9,128.3988325
Weight,1,80,99,3.9,123.2946963
Weight,2,0,18,4,14.991416
Weight,2,18,25,4,100.089748
Weight,2,26,35,4,107.5942745
Weight,2,36,45,4,112.5061678
