variable,gender,age_min,age_max,percentile,value
Height,2,0,18,2.9,34.4882076
Height,2,18,25,2.9,58.61026787
Height,2,26,35,2.9,58.88495306
Height,2,36,45,2.9,58.4645985
Height,2,46,55,2.9,57.73963748
Height,2,56,65,2.9,57.464283
Height,2,66,79,2.9,57.3343223
Height,2,80,99,2.9,56.76916451
Height,1,0,18,2.9,35.4475782
Height,1,18,25,2.9,63.49664846
Height,1,26,35,2.9,63.10786872
Height,1,36,45,2.9,62.77967957
Height,1,46,55,2.9,62.58838025
Height,1,56,65,2.9,62.9527899
Height,1,66,79,2.9,62.02586027
Height,1,80,99,2.9,61.31085988
Height,2,0,18,3,34.4882076
Height,2,18,25,3,58.67129153
Height,2,26,35,3,58.91302394
Height,2,36,45,3,58.47168512
Height,2,46,55,3,57.7559367
Height,2,56,65,3,57.480346
Height,2,66,79,3,57.41617274
Height,2,80,99,3,56.83152675
Height,1,0,18,3,35.50710579
Height,1,18,25,3,63.5811367
Height,1,26,35,3,63.17838057
Height,1,36,45,3,62.81184494
Height,1,46,55,3,62.64097871
Height,1,56,65,3,62.97168755
Height,1,66,79,3,62.08349809
Height,1,80,99,3,61.38979693
Height,2,0,18,3.1,34.63033366
Height,2,18,25,3.1,58.69392933
Height,2,26,35,3.1,58.94109482
Height,2,36,45,3.1,58.49948041
Height,2,46,55,3.1,57.7559367
Height,2,56,65,3.1,57.49168459
Height,2,66,79,3.1,57.4409759
Height,2,80,99,3.1,56.88664489
Height,1,0,18,3.1,35.5512003
Height,1,18,25,3.1,63.66432572
Height,1,26,35,3.1,63.32873498
Height,1,36,45,3.1,62.85964024
Height,1,46,55,3.1,62.69357716
Height,1,56,65,3.1,63.00381355
Height,1,66,79,3.1,62.11389181
Height,1,80,99,3.1,61.4964899
Height,2,0,18,3.2,34.645688
Height,2,18,25,3.2,58.71656714
Height,2,26,35,3.2,58.9691657
Height,2,36,45,3.2,58.5505828
Height,2,46,55,3.2,57.7559367
Height,2,56,65,3.2,57.52507043
Height,2,66,79,3.2,57.46869245
Height,2,80,99,3.2,56.93861342
Height,1,0,18,3.2,35.5905704
Height,1,18,25,3.2,63.68727849
Height,1,26,35,3.2,63.47279018
Height,1,36,45,3.2,62.99090016
Height,1,46,55,3.2,62.80538825
Height,1,56,65,3.2,63.03593955
Height,1,66,79,3.2,62.14271072
Height,1,80,99,3.2,61.60318287
Height,2,0,18,3.3,34.68958566
Height,2,18,25,3.3,58.73920495
